,Unnamed: 0,Unnamed: 0.1,Lef,Right,Label
0,0.0,0.0,"(331, 205)","(418, 205)",Looking left
1,1.0,1.0,"(332, 203)","(421, 204)",Looking left
2,2.0,2.0,"(333, 202)","(421, 204)",Looking left
3,3.0,3.0,"(336, 203)","(424, 205)",Looking left
4,4.0,4.0,"(337, 204)","(425, 206)",Looking left
5,5.0,5.0,"(337, 203)","(425, 206)",Looking left
6,6.0,6.0,"(339, 203)","(427, 206)",Looking left
7,7.0,7.0,"(339, 203)","(427, 206)",Looking left
8,8.0,8.0,"(341, 204)","(428, 206)",Looking left
9,9.0,9.0,"(343, 203)","(430, 207)",Looking left
10,10.0,10.0,"(343, 203)","(430, 207)",Looking left
11,11.0,11.0,"(344, 204)","(431, 207)",Looking left
12,12.0,12.0,"(344, 204)","(431, 207)",Looking left
13,13.0,13.0,"(344, 204)","(431, 207)",Looking left
14,14.0,14.0,"(344, 204)","(431, 207)",Looking left
15,15.0,15.0,"(344, 204)","(431, 208)",Looking left
16,16.0,16.0,"(344, 204)","(431, 208)",Looking left
17,17.0,17.0,"(339, 206)","(427, 209)",Looking center
18,18.0,18.0,"(339, 206)","(427, 209)",Looking center
19,19.0,19.0,"(339, 206)","(427, 210)",Looking center
20,20.0,20.0,"(339, 206)","(427, 210)",Looking center
21,21.0,21.0,"(336, 208)","(424, 211)",Looking center
22,22.0,22.0,"(336, 208)","(424, 211)",Looking center
23,23.0,23.0,"(332, 207)","(422, 210)",Looking center
24,24.0,24.0,"(332, 207)","(422, 210)",Looking center
25,25.0,25.0,"(328, 208)","(418, 210)",Looking center
26,26.0,26.0,"(328, 208)","(418, 210)",Looking center
27,27.0,27.0,"(326, 210)","(415, 211)",Looking center
28,28.0,28.0,"(326, 210)","(415, 211)",Looking center
29,29.0,29.0,"(323, 211)","(413, 211)",Looking center
30,30.0,30.0,"(323, 211)","(413, 211)",Looking center
31,31.0,31.0,"(321, 211)","(412, 211)",Looking center
32,32.0,32.0,"(321, 211)","(412, 211)",Looking center
33,33.0,33.0,"(320, 211)","(411, 211)",Looking center
34,34.0,34.0,"(320, 211)","(411, 211)",Looking center
35,35.0,35.0,"(320, 211)","(411, 211)",Looking center
36,36.0,36.0,"(320, 211)","(411, 211)",Looking center
37,37.0,37.0,"(320, 213)","(409, 213)",Looking center
38,38.0,38.0,"(320, 213)","(409, 213)",Looking center
39,39.0,39.0,,,
40,40.0,40.0,,,
41,41.0,41.0,,,
42,42.0,42.0,,,
43,43.0,43.0,,,
44,44.0,44.0,,,
45,45.0,45.0,"(257, 200)","(337, 192)",Looking center
46,46.0,46.0,"(257, 200)","(337, 192)",Looking center
47,47.0,47.0,"(252, 201)","(329, 192)",Looking center
48,48.0,48.0,"(252, 201)","(329, 192)",Looking center
49,49.0,49.0,"(250, 202)","(325, 192)",Looking center
50,50.0,50.0,"(250, 202)","(325, 192)",Looking center
51,51.0,51.0,"(249, 202)","(325, 191)",Looking center
52,52.0,52.0,"(249, 202)","(325, 191)",Looking center
53,53.0,53.0,"(250, 203)","(327, 191)",Looking center
54,54.0,54.0,"(250, 203)","(327, 191)",Looking center
55,55.0,55.0,"(252, 203)","(330, 192)",Looking center
56,56.0,56.0,"(252, 203)","(330, 192)",Looking center
57,57.0,57.0,"(254, 203)","(333, 192)",Looking center
58,58.0,58.0,"(254, 203)","(333, 192)",Looking center
59,59.0,59.0,"(258, 203)","(339, 193)",Looking center
60,60.0,60.0,"(258, 203)","(339, 193)",Looking center
61,61.0,61.0,"(262, 204)","(344, 195)",Looking center
62,62.0,62.0,"(262, 204)","(344, 195)",Looking center
63,63.0,63.0,"(262, 204)","(346, 195)",Looking center
64,64.0,64.0,"(262, 204)","(346, 195)",Looking center
65,65.0,65.0,"(264, 203)","(346, 195)",Looking center
66,66.0,66.0,"(264, 203)","(346, 195)",Looking center
67,67.0,67.0,"(263, 204)","(346, 195)",Looking center
68,68.0,68.0,"(263, 204)","(346, 195)",Looking center
69,69.0,69.0,"(264, 204)","(347, 194)",Looking center
70,70.0,70.0,"(264, 204)","(347, 194)",Looking center
71,71.0,71.0,,,
72,72.0,72.0,,,
73,73.0,73.0,"(292, 206)","(380, 198)",Looking left
74,74.0,74.0,"(292, 206)","(380, 198)",Looking left
75,75.0,75.0,"(297, 207)","(386, 201)",Looking left
76,76.0,76.0,"(297, 207)","(386, 201)",Looking left
77,77.0,77.0,"(300, 208)","(389, 203)",Looking left
78,78.0,78.0,"(300, 208)","(389, 203)",Looking left
79,79.0,79.0,"(303, 210)","(392, 205)",Looking left
80,80.0,80.0,"(303, 210)","(392, 205)",Looking left
81,81.0,81.0,,,
82,82.0,82.0,,,
83,83.0,83.0,,,
84,84.0,84.0,,,
85,85.0,85.0,,,
86,86.0,86.0,,,
87,87.0,87.0,,,
88,88.0,88.0,,,
89,89.0,89.0,,,
90,90.0,90.0,,,
91,91.0,91.0,,,
92,92.0,92.0,,,
93,93.0,93.0,,,
94,94.0,94.0,,,
95,95.0,95.0,,,
96,96.0,96.0,,,
97,97.0,97.0,,,
98,98.0,98.0,,,
99,99.0,99.0,,,
100,100.0,100.0,,,
101,101.0,101.0,,,
102,102.0,102.0,,,
103,103.0,103.0,,,
